risk_budget,method,task,regime,seed,episodes,success,rare_failure_recall,contact_boundary_error,unsafe_commitment,overtrust_rate,recovery_success,tail_risk_rate,calibration_ece,intervention_cost,average_scaling_gain,boundary_risk_slope,scale_exception_gap,boundary_coverage,shortcut_reliance,morphology_transfer_gap,recoverability_deficit,regret_to_oracle,utility,coverage,risk_score
0.08,small_behavior_clone,contact_insertion,rare_contact_tail,0,6,0.15,0.166667,0.666667,0.166667,0.166667,0.166667,0.166667,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.166667,0.166667,0.0,0.092875,0.0,0.2
0.08,small_behavior_clone,contact_insertion,rare_contact_tail,1,6,0.0,0.166667,0.5,0.0,0.166667,0.333333,0.333333,0.0,0.0,0.166667,0.166667,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.0125,0.13
0.08,small_behavior_clone,contact_insertion,rare_contact_tail,2,6,0.067753,0.0,0.666667,0.166667,0.166667,0.0,0.166667,0.0,0.0,0.0,0.5,0.166667,0.166667,0.333333,0.0,0.166667,0.0,0.02393,0.152167,0.15
0.08,small_behavior_clone,contact_insertion,rare_contact_tail,3,6,0.0,0.333333,0.5,0.166667,0.0,0.333333,0.333333,0.0,0.0,0.0,0.5,0.0,0.166667,0.0,0.333333,0.333333,0.0,0.0,0.125167,0.17
0.08,small_behavior_clone,contact_insertion,rare_contact_tail,4,6,0.1,0.166667,0.833333,0.333333,0.166667,0.0,0.333333,0.5,0.333333,0.0,0.166667,0.0,0.166667,0.0,0.166667,0.0,0.0,0.011792,0.0,0.32
0.08,small_behavior_clone,contact_insertion,rare_contact_tail,5,6,0.05,0.333333,0.5,0.5,0.0,0.0,0.5,0.166667,0.0,0.333333,0.333333,0.5,0.166667,0.0,0.333333,0.0,0.0,0.0,0.0,0.376667
0.08,small_behavior_clone,contact_insertion,rare_contact_tail,6,6,0.0,0.166667,0.333333,0.166667,0.166667,0.0,0.333333,0.0,0.333333,0.0,0.166667,0.0,0.166667,0.0,0.0,0.333333,0.0,0.0,0.084667,0.2
0.08,small_behavior_clone,contact_insertion,rare_contact_tail,7,6,0.0,0.5,0.666667,0.0,0.0,0.166667,0.0,0.166667,0.333333,0.166667,0.333333,0.0,0.0,0.333333,0.0,0.166667,0.0,0.013692,0.08,0.016667
0.08,small_behavior_clone,contact_insertion,rare_contact_tail,8,6,0.098222,0.166667,0.5,0.0,0.166667,0.5,0.166667,0.0,0.666667,0.0,0.166667,0.166667,0.333333,0.0,0.0,0.333333,0.0,0.086333,0.413333,0.08
0.08,small_behavior_clone,contact_insertion,rare_contact_tail,9,6,0.0,0.0,0.0,0.166667,0.166667,0.333333,0.166667,0.0,0.5,0.333333,0.333333,0.333333,0.166667,0.166667,0.0,0.333333,0.0,0.0,0.152167,0.15
0.08,small_behavior_clone,contact_insertion,occluded_precondition,0,6,0.0,0.333333,0.5,0.166667,0.166667,0.5,0.5,0.333333,0.166667,0.0,0.666667,0.333333,0.0,0.166667,0.0,0.166667,0.0,0.0,0.0,0.283333
0.08,small_behavior_clone,contact_insertion,occluded_precondition,1,6,0.15,0.166667,0.333333,0.166667,0.0,0.166667,0.166667,0.333333,0.0,0.0,0.333333,0.0,0.0,0.333333,0.0,0.166667,0.0,0.107,0.0,0.153333
0.08,small_behavior_clone,contact_insertion,occluded_precondition,2,6,0.196444,0.166667,0.5,0.0,0.0,0.333333,0.0,0.166667,0.0,0.0,0.333333,0.166667,0.333333,0.0,0.166667,0.166667,0.0,0.216067,0.413333,0.016667
0.08,small_behavior_clone,contact_insertion,occluded_precondition,3,6,0.15,0.666667,0.333333,0.333333,0.0,0.333333,0.166667,0.0,0.166667,0.333333,0.333333,0.0,0.0,0.0,0.166667,0.333333,0.0,0.106958,0.0,0.19
