risk_budget,method,mean_mean_success,ci95_mean_success,mean_mean_rare_failure_recall,ci95_mean_rare_failure_recall,mean_mean_contact_boundary_error,ci95_mean_contact_boundary_error,mean_mean_unsafe_commitment,ci95_mean_unsafe_commitment,mean_mean_overtrust_rate,ci95_mean_overtrust_rate,mean_mean_recovery_success,ci95_mean_recovery_success,mean_mean_tail_risk_rate,ci95_mean_tail_risk_rate,mean_mean_calibration_ece,ci95_mean_calibration_ece,mean_mean_intervention_cost,ci95_mean_intervention_cost,mean_mean_average_scaling_gain,ci95_mean_average_scaling_gain,mean_mean_boundary_risk_slope,ci95_mean_boundary_risk_slope,mean_mean_scale_exception_gap,ci95_mean_scale_exception_gap,mean_mean_boundary_coverage,ci95_mean_boundary_coverage,mean_mean_shortcut_reliance,ci95_mean_shortcut_reliance,mean_mean_morphology_transfer_gap,ci95_mean_morphology_transfer_gap,mean_mean_recoverability_deficit,ci95_mean_recoverability_deficit,mean_mean_regret_to_oracle,ci95_mean_regret_to_oracle,mean_mean_utility,ci95_mean_utility,mean_mean_coverage,ci95_mean_coverage,mean_mean_risk_score,ci95_mean_risk_score,groups
0.08,boundary_aware_scale_exception_audit_v5,0.488563,0.012668,0.634491,0.013347,0.185185,0.009274,0.042361,0.004438,0.027546,0.006066,0.578935,0.012625,0.085185,0.007968,0.028241,0.004267,0.21713,0.018309,0.309722,0.016892,0.192824,0.011618,0.231944,0.014168,0.622454,0.015085,0.085417,0.008804,0.028241,0.004915,0.069676,0.004248,0.0,0.0,0.552788,0.014411,0.683695,0.016586,0.05113,0.003736,10
0.08,compute_balanced_scaling,0.139838,0.004572,0.270833,0.012904,0.33912,0.013782,0.164583,0.016012,0.19838,0.011011,0.289583,0.018367,0.224074,0.013353,0.216204,0.008693,0.164583,0.00995,0.366204,0.014248,0.411111,0.022998,0.404861,0.013585,0.261111,0.008306,0.258796,0.012668,0.095602,0.006559,0.164583,0.011387,0.0,0.0,0.096099,0.005327,0.208077,0.011245,0.193676,0.009654,10
0.08,conformal_risk_filter,0.244595,0.005663,0.407176,0.00901,0.285648,0.012693,0.087037,0.008037,0.095139,0.007515,0.38588,0.013272,0.146991,0.011015,0.120602,0.007575,0.221065,0.016735,0.25787,0.01479,0.308796,0.013682,0.25162,0.0143,0.398611,0.011494,0.181713,0.013699,0.075694,0.013595,0.122685,0.006345,0.0,0.0,0.24352,0.005805,0.420063,0.012573,0.109838,0.004819,10
0.08,data_only_scaling,0.12058,0.005335,0.25463,0.01576,0.337731,0.014886,0.167824,0.011817,0.206481,0.015361,0.278241,0.012704,0.219444,0.013129,0.207176,0.011077,0.176389,0.00825,0.319676,0.0228,0.41875,0.015415,0.365046,0.015275,0.229398,0.012805,0.25625,0.011419,0.104167,0.006557,0.186111,0.010482,0.0,0.0,0.080216,0.00668,0.177246,0.015517,0.194204,0.007924,10
0.08,dropout_risk_filter,0.224211,0.006467,0.396065,0.015592,0.291898,0.012126,0.098148,0.007568,0.104861,0.0092,0.386574,0.013811,0.150694,0.013568,0.116435,0.011832,0.214815,0.006042,0.258796,0.010668,0.32037,0.012327,0.25162,0.007889,0.378935,0.010631,0.18125,0.011618,0.083565,0.008959,0.13287,0.008693,0.0,0.0,0.218761,0.007296,0.393216,0.010031,0.116949,0.006141,10
0.08,ensemble_uncertainty_gate,0.213314,0.010636,0.384722,0.021321,0.306019,0.011109,0.106944,0.008656,0.121991,0.012324,0.374306,0.015033,0.150463,0.009049,0.14213,0.006388,0.211111,0.010495,0.263889,0.011617,0.334259,0.009498,0.268056,0.018729,0.371065,0.007772,0.186343,0.011483,0.078472,0.009881,0.127778,0.008813,0.0,0.0,0.202774,0.009407,0.378375,0.010566,0.126227,0.005748,10
0.08,generic_scaling_law_extrapolator,0.123071,0.007976,0.226389,0.018777,0.334491,0.01398,0.167824,0.014991,0.2125,0.011613,0.250231,0.012145,0.22037,0.013507,0.237037,0.010306,0.170139,0.019204,0.37338,0.009709,0.439352,0.014232,0.441435,0.017946,0.230787,0.020604,0.268519,0.011378,0.103704,0.011374,0.174537,0.009303,0.0,0.0,0.077883,0.00698,0.178564,0.020421,0.198551,0.007156,10
0.08,invariance_penalty_policy,0.223617,0.011545,0.354398,0.013123,0.29537,0.015411,0.121065,0.008689,0.117593,0.011827,0.356019,0.019855,0.171528,0.007987,0.143056,0.008761,0.191667,0.011474,0.292824,0.019228,0.324306,0.014685,0.294444,0.012038,0.362963,0.011006,0.15162,0.009571,0.061806,0.00631,0.146991,0.009106,0.0,0.0,0.204807,0.012816,0.359322,0.013344,0.137778,0.004295,10
0.08,large_behavior_clone,0.089757,0.004511,0.173611,0.011216,0.365972,0.016955,0.185648,0.013129,0.250926,0.005334,0.222454,0.011684,0.240278,0.017943,0.258565,0.014972,0.167593,0.014852,0.349074,0.013146,0.45787,0.012504,0.42338,0.021156,0.19537,0.007446,0.297454,0.008773,0.111574,0.01232,0.177778,0.008195,0.0,0.0,0.045813,0.003993,0.132165,0.006903,0.221079,0.006769,10
0.08,medium_behavior_clone,0.091064,0.007845,0.192361,0.007605,0.355324,0.011057,0.172685,0.009154,0.183565,0.009075,0.245602,0.017617,0.230324,0.013429,0.207639,0.009075,0.163889,0.013439,0.216435,0.013292,0.400694,0.016901,0.275231,0.012679,0.208333,0.009149,0.233102,0.015747,0.114352,0.009617,0.181481,0.008667,0.0,0.0,0.05709,0.006426,0.156276,0.008583,0.195431,0.007586,10
